Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkScanComments/1MValid,"(1, 3, 1)",0.0019091912464442172,3,2801696.6666666665,2797244.0,2809219.0
BenchmarkScanComments/10ValidUtf8,"(1, 3, 1)",0.0007684673702849022,3,21.25,21.23,21.27
BenchmarkScanComments/1kValidUtf8,"(1, 3, 1)",0.0009343628457912139,3,2312.0,2310.0,2315.0
BenchmarkScanComments/1MValidUtf8,"(1, 3, 1)",0.0002517004928559707,3,2315501.6666666665,2314814.0,2316239.0
BenchmarkScanComments/10Valid,"(1, 3, 1)",0.0019382808675786779,3,32.17333333333334,32.09,32.24
BenchmarkScanComments/1kValid,"(1, 3, 1)",0.000746839593284344,3,2751.3333333333335,2749.0,2754.0
BenchmarkParseLiteralStringValid/10Valid,"(1, 3, 1)",0.009088570941183514,3,32.800000000000004,32.51,33.21
BenchmarkParseLiteralStringValid/1kValid,"(1, 3, 1)",0.001043591564605438,3,2747.6666666666665,2744.0,2751.0
BenchmarkParseLiteralStringValid/1MValid,"(1, 3, 1)",0.00033678185859317776,3,2805181.6666666665,2803924.0,2806201.0
BenchmarkParseLiteralStringValid/10ValidUtf8,"(1, 3, 1)",0.0007241654819757947,3,22.55,22.53,22.570000000000004
BenchmarkParseLiteralStringValid/1kValidUtf8,"(1, 3, 1)",0.004441239220160543,3,2298.6666666666665,2290.0,2313.0
BenchmarkParseLiteralStringValid/1MValidUtf8,"(1, 3, 1)",0.0004905504497761007,3,2336057.6666666665,2334578.0,2337370.0
BenchmarkParseBasicStringWithUnicode/4,"(1, 3, 1)",0.00030096053678932,3,156.63333333333333,156.6,156.7
BenchmarkParseBasicStringWithUnicode/8,"(1, 3, 1)",0.0019761918053918153,3,247.9,247.30000000000004,248.5
BenchmarkParseBasicStringsEasy/1,"(1, 3, 1)",0.004496540952949503,3,9.376333333333335,9.33,9.432
BenchmarkParseBasicStringsEasy/4,"(1, 3, 1)",0.0005592442335121292,3,14.6,14.589999999999998,14.61
BenchmarkParseBasicStringsEasy/8,"(1, 3, 1)",0.0006768555330633233,3,18.426666666666666,18.41,18.44
BenchmarkParseBasicStringsEasy/16,"(1, 3, 1)",0.0012817890491407622,3,30.103333333333335,30.05,30.14
BenchmarkParseBasicStringsEasy/21,"(1, 3, 1)",0.0006417316590996256,3,38.17,38.14,38.2
BenchmarkUnmarshalDataset/config,"(1, 3, 1)",0.0010829832292420934,3,26263770.666666668,26240695.0,26303842.0
BenchmarkUnmarshalDataset/canada,"(1, 3, 1)",0.005777628327110764,3,123198336.0,122541448.0,124187348.0
BenchmarkUnmarshalDataset/citm_catalog,"(1, 3, 1)",0.009695702196903211,3,40837844.333333336,40424685.0,41371748.0
BenchmarkUnmarshalDataset/twitter,"(1, 3, 1)",0.009900790263094983,3,15533125.666666666,15346650.0,15723303.0
BenchmarkUnmarshalDataset/code,"(1, 3, 1)",0.004807533597793267,3,113697220.33333333,113244882.0,114466257.0
BenchmarkUnmarshalDataset/example,"(1, 3, 1)",0.005176972428453652,3,190790.66666666666,190021.0,192185.0
BenchmarkUnmarshal/SimpleDocument/struct,"(1, 3, 1)",0.004778228073812191,3,736.2333333333332,733.5,741.2000000000002
BenchmarkUnmarshal/SimpleDocument/map,"(1, 3, 1)",0.01379993964740863,3,1004.5333333333333,989.6,1023.0
BenchmarkUnmarshal/ReferenceFile/struct,"(1, 3, 1)",0.001545337387352671,3,55742.333333333336,55637.0,55848.0
BenchmarkUnmarshal/ReferenceFile/map,"(1, 3, 1)",0.0016180229212193944,3,82805.33333333333,82656.0,82981.0
BenchmarkUnmarshal/HugoFrontMatter,"(1, 3, 1)",0.0059742614458226165,3,14116.0,14000.0,14198.0
BenchmarkMarshal/SimpleDocument/struct,"(1, 3, 1)",0.0017218448127673223,3,467.8333333333333,466.7,468.5
BenchmarkMarshal/SimpleDocument/map,"(1, 3, 1)",0.0021602586245890423,3,659.0,657.0,660.2
BenchmarkMarshal/ReferenceFile/struct,"(1, 3, 1)",0.004118254985923779,3,40725.666666666664,40510.0,40919.0
BenchmarkMarshal/ReferenceFile/map,"(1, 3, 1)",0.0023626455659822593,3,54390.333333333336,54210.0,54500.0
BenchmarkMarshal/HugoFrontMatter,"(1, 3, 1)",0.005414082099459877,3,9729.666666666666,9666.0,9795.0
